TrackID,FrameID,WorldX,WorldY,WorldZ
0,47,12.2258,-15.5573,-10.1601
1,36,16.8108,0.327194,4.94067
5,13,3.51387,18.8113,10.1032
5,15,3.50771,18.6812,10.1343
9,30,6.42813,19.0141,10.057
9,41,5.89332,19.1564,10.4045
16,35,13.9118,-9.47378,15.9579
21,18,-0.0318163,-14.0329,-9.69726
22,36,5.54421,-0.173579,4.20735
23,48,3.69607,-4.72408,14.1929
26,25,4.01213,10.0316,-9.79468
27,38,3.85077,-15.0587,9.10661
27,49,4.16958,-15.3432,9.05277
31,49,17.0203,11.9708,16.3823
33,33,-2.94708,16.3438,6.98221
34,11,3.00378,13.3249,16.2703
35,7,-0.145633,1.2734,-9.57926
41,14,5.43042,6.37765,15.4096
41,23,5.61445,6.37724,15.1818
45,8,13.0149,11.045,2.94416
46,8,-5.86217,-5.44782,9.62522
47,26,-1.97411,-8.47315,11.4828
48,32,-19.1315,-5.49314,13.6362
54,8,8.69352,0.76584,3.02032
62,33,-1.3942,14.9394,13.1746
63,5,-10.0011,15.4798,6.50872
63,9,-9.84448,15.1889,6.46101
64,27,-4.15287,8.13523,19.4956
66,10,11.4988,-6.23244,9.89474
67,6,-0.517813,-8.58018,15.3556
74,2,-17.3056,-8.21035,9.73946
76,40,-16.2002,3.39645,7.44748
79,34,-1.01029,-15.9245,15.485
80,21,-6.75445,15.0805,-10.1204
82,21,-15.5848,0.25474,7.09342
84,8,-8.20507,7.43135,13.0222
86,40,17.401,7.0722,4.69985
93,26,-8.40746,10.0467,-10.2774
95,37,-9.82043,11.1004,9.58961
101,32,13.8162,-10.8532,13.9044
103,19,-6.55469,1.70801,19.4209
105,24,11.2174,1.50908,15.7971
106,42,11.2763,-3.97108,18.9462
108,32,-12.8516,-16.1675,6.45858
108,42,-13.0103,-16.4826,6.53732
109,6,-10.1384,-3.67771,13.1164
109,44,-11.1285,-5.05529,13.4648
115,1,7.60032,2.16661,19.1868
118,26,-4.92472,-0.460756,17.966
123,18,11.1743,6.03204,18.5674
126,48,-13.5486,5.56656,2.01015
127,21,-10.623,12.9134,16.7477
129,47,6.08074,1.99482,10.0775
133,22,15.1098,0.666342,13.1462
134,24,-12.9863,-4.64046,19.3475
135,21,15.5124,-0.0563402,12.4723
139,12,-15.2957,-1.63089,16.1995
140,9,1.02455,-12.6672,8.8474
141,14,-10.4326,-4.41344,13.0562
141,47,-11.9545,-5.47183,13.1015
142,19,-0.648822,-18.2098,9.33696
147,33,-0.17037,8.07386,17.76
149,50,19.8417,7.98386,10.6826
152,8,-4.37004,-15.7571,6.39282
154,17,0.452487,-8.02312,17.914
157,30,11.0824,11.3317,6.13309
160,1,18.0794,4.37657,-12.4824
162,34,2.73406,1.67079,12.9406
164,43,15.7317,-9.02445,2.72103
165,26,-5.96454,2.40075,-14.6293
166,14,-8.80672,6.31938,9.35
166,35,-8.19322,4.89104,8.83942
169,14,-8.83499,1.93455,-13.9621
171,21,4.57562,-8.32679,-11.7179
172,33,-15.9649,5.98711,8.48035
173,25,0.524331,3.98799,13.0405
174,32,7.03326,10.9174,9.87706
174,41,7.42679,10.6849,10.1422
176,45,-0.892617,-6.73922,1.73622
178,26,16.9912,-5.08295,-8.75539
179,12,-14.3276,-8.29517,16.1124
181,3,-7.61464,4.90835,-10.1094
182,25,0.756458,3.38732,18.9418
188,27,1.03068,-3.16597,4.87176
189,2,12.814,-14.3749,12.1226
190,27,0.774067,12.4421,15.9667
193,2,-12.2504,14.9565,13.1446
198,45,-8.67402,-10.0821,5.80837
201,1,-3.68588,11.5087,6.23996
201,46,-1.89978,10.8934,4.88875
202,31,-2.03547,2.01794,17.9715
202,38,-1.92067,2.13295,17.7598
209,25,6.37227,-7.3238,15.888
210,45,16.3995,-9.67512,5.52031
211,37,4.77709,-3.65001,18.4804
214,2,-4.24296,-5.63515,15.7637
214,26,-3.59058,-5.76419,14.8145
215,5,3.71065,-5.97438,18.7707
216,32,-10.1472,-16.2923,9.77595
222,21,-13.9568,9.50706,3.33624
222,25,-13.9164,9.45696,3.45353
223,13,1.84877,-4.8378,18.4584
229,23,-0.533766,0.578596,9.49736
234,20,-1.08053,2.72069,13.3044
234,26,-1.34543,2.83622,13.4827
236,50,3.37308,-6.72493,3.82323
241,14,-0.901343,17.1103,9.57542
242,23,3.79071,-17.6408,12.6906
244,32,15.2797,-15.3291,7.12397
247,35,-7.75774,-12.8025,16.2098
252,7,-3.2231,12.7113,9.49346
252,35,-2.59993,11.4592,9.20089
254,37,10.918,15.7352,16.9206
258,15,9.51749,15.7261,16.1761
261,31,-17.4478,5.68226,10.9365
262,10,-10.2807,2.58373,19.5977
263,4,14.605,16.1808,3.04043
263,31,13.4472,16.9419,4.18875
263,35,13.3127,16.9736,4.38207
263,49,12.9942,17.2531,5.19749
264,30,4.0723,11.96,4.45677
265,26,11.1751,-13.9369,12.8347
266,34,16.0708,6.14232,16.1974
270,46,-6.0087,-18.2303,10.0877
273,2,1.33742,18.0565,9.53562
273,33,1.60364,16.2496,10.119
279,21,-5.03667,0.528215,18.3414
279,42,-4.69366,-0.133301,17.351
281,17,2.37661,17.1969,6.2015
281,28,2.11076,16.7346,6.07287
282,29,-13.3952,-11.8071,3.38541
282,42,-13.7023,-12.0508,3.85441
286,49,0.360998,-16.0881,3.11351
291,22,9.55436,11.0662,16.1208
293,22,-0.778665,-7.49168,17.1369
293,35,-0.539234,-7.16164,16.1674
295,41,19.0585,9.12343,1.39957
303,0,3.82022,4.55553,5.94221
304,19,-5.27581,6.27922,19.1923
305,32,-12.9864,-3.72754,-0.408119
307,33,0.862488,-3.84664,7.72385
308,44,-12.1095,-15.7381,10.9843
312,41,11.0036,-6.67359,7.97756
314,41,-1.83632,6.02199,2.8469
317,22,0.235252,-11.3324,17.7424
323,26,-15.2054,-12.1269,18.8977
326,31,19.1349,-6.22955,1.95991
334,1,10.0395,-8.56376,12.0327
335,44,-11.7373,-6.24676,2.97088
336,42,16.5645,1.21074,-2.32938
338,16,-9.75146,16.2564,0.137214
338,19,-9.85793,16.1892,0.119407
339,22,-13.2988,-6.23447,15.4301
339,37,-13.6681,-7.49441,14.9491
339,49,-13.938,-8.37308,14.6571
340,23,13.342,16.1432,-14.0971
346,37,-6.08399,-15.5514,3.36628
353,36,-2.69388,14.7313,-17.7908
356,27,-16.8126,-5.44703,9.3058
357,32,-8.62022,8.55803,-1.64495
357,41,-8.7186,8.71227,-2.09769
361,38,-1.0015,0.646643,-2.93573
363,39,2.60434,10.2356,-16.3916
364,13,8.80232,0.964713,2.48541
365,31,0.861198,-7.84488,-0.123186
365,48,1.05113,-8.25217,-0.233529
366,9,5.08195,5.54891,-15.7367
366,26,5.17904,6.32543,-15.2763
367,34,1.80651,-16.8473,11.1977
369,36,14.7614,-16.0162,-10.0572
369,45,14.7611,-15.9998,-9.35133
381,38,-8.90507,15.2003,-7.39642
382,18,-6.99071,-8.78757,-3.19661
383,49,5.60424,4.9483,-7.08128
384,21,-1.90235,16.2047,10.0063
386,7,-2.28333,-1.35678,-13.4285
397,6,-6.13784,-14.693,15.3798
397,14,-5.97205,-14.9356,15.2412
397,49,-5.28211,-16.1223,13.9525
400,44,2.30056,-5.07522,5.73371
403,24,5.7592,13.3974,16.5281
404,9,7.25956,-9.3329,-15.6862
406,27,15.8927,0.41494,16.0767
408,49,-12.1009,5.70772,-5.66996
412,20,4.52313,-9.3293,-16.076
414,19,-15.6752,-9.78146,-0.124406
418,47,14.5668,-16.2614,-13.7962
420,28,12.1479,13.5905,13.8284
421,30,16.9047,-5.39004,15.4158
