WorldX,WorldY,WorldZ,Col(ImgX),Row(ImgY),MouseX,MouseY
1.5,-2.0,0.0,797.2879028320312,623.6818237304688,797.2879028320312,176.31817626953125
1.0,-2.0,0.0,744.419189453125,622.5504760742188,744.419189453125,177.44952392578125
0.5,-2.0,0.0,691.5,621.3571166992188,691.5,178.64288330078125
0.0,-2.0,0.0,638.5,619.9166870117188,638.5,180.08331298828125
-0.5,-2.0,0.0,585.5,618.5,585.5,181.5
-1.0,-2.0,0.0,532.8695678710938,617.0652465820312,532.8695678710938,182.93475341796875
-1.5,-2.0,0.0,479.8658447265625,615.8902587890625,479.8658447265625,184.1097412109375
-2.0,-2.0,0.0,426.5,614.25,426.5,185.75
-2.5,-2.0,0.0,373.1153869628906,613.1153564453125,373.1153869628906,186.8846435546875
-3.0,-2.0,0.0,319.8846130371094,611.8846435546875,319.8846130371094,188.1153564453125
-3.5,-2.0,0.0,266.5,610.5,266.5,189.5
-4.0,-2.0,0.0,213.0,609.0,213.0,191.0
-4.5,-2.0,0.0,159.5,608.0,159.5,192.0
4.5,-1.5,0.0,1115.56982421875,579.4534912109375,1115.56982421875,220.5465087890625
4.0,-1.5,0.0,1063.1666259765625,578.0,1063.1666259765625,222.0
3.5,-1.5,0.0,1010.1363525390625,576.8636474609375,1010.1363525390625,223.1363525390625
3.0,-1.5,0.0,957.5,575.0714111328125,957.5,224.9285888671875
2.5,-1.5,0.0,904.610107421875,573.7476806640625,904.610107421875,226.2523193359375
2.0,-1.5,0.0,851.7307739257812,572.5,851.7307739257812,227.5
1.5,-1.5,0.0,798.9666748046875,571.0333251953125,798.9666748046875,228.9666748046875
1.0,-1.5,0.0,746.4166870117188,569.5833129882812,746.4166870117188,230.41668701171875
0.5,-1.5,0.0,693.4495239257812,568.419189453125,693.4495239257812,231.580810546875
0.0,-1.5,0.0,640.1875,567.0,640.1875,233.0
-0.5,-1.5,0.0,587.5,565.9166870117188,587.5,234.08331298828125
-1.0,-1.5,0.0,534.8038940429688,564.0098266601562,534.8038940429688,235.99017333984375
-1.5,-1.5,0.0,481.5,563.0,481.5,237.0
-2.0,-1.5,0.0,428.1666564941406,561.1666870117188,428.1666564941406,238.83331298828125
-2.5,-1.5,0.0,375.0,560.0,375.0,240.0
-3.0,-1.5,0.0,321.5,558.9166870117188,321.5,241.08331298828125
-3.5,-1.5,0.0,268.3571472167969,557.5,268.3571472167969,242.5
-4.0,-1.5,0.0,214.85714721679688,556.0714111328125,214.85714721679688,243.9285888671875
-4.5,-1.5,0.0,161.41175842285156,554.8235473632812,161.41175842285156,245.17645263671875
4.5,-1.0,0.0,1117.56982421875,526.4534912109375,1117.56982421875,273.5465087890625
4.0,-1.0,0.0,1065.0882568359375,525.0882568359375,1065.0882568359375,274.9117431640625
3.5,-1.0,0.0,1012.125,523.875,1012.125,276.125
3.0,-1.0,0.0,959.3969116210938,522.3350219726562,959.3969116210938,277.66497802734375
2.5,-1.0,0.0,906.5,520.7307739257812,906.5,279.26922607421875
2.0,-1.0,0.0,853.625,519.5,853.625,280.5
1.5,-1.0,0.0,800.5833129882812,518.4166870117188,800.5833129882812,281.58331298828125
1.0,-1.0,0.0,748.0,516.5384521484375,748.0,283.4615478515625
0.5,-1.0,0.0,695.0098266601562,515.1961059570312,695.0098266601562,284.80389404296875
0.0,-1.0,0.0,642.1666870117188,513.8333129882812,642.1666870117188,286.16668701171875
-0.5,-1.0,0.0,589.1666870117188,512.8333129882812,589.1666870117188,287.16668701171875
-1.0,-1.0,0.0,536.5,511.0833435058594,536.5,288.9166564941406
-1.5,-1.0,0.0,483.1538391113281,509.8846130371094,483.1538391113281,290.1153869628906
-2.0,-1.0,0.0,430.0909118652344,508.18182373046875,430.0909118652344,291.81817626953125
-2.5,-1.0,0.0,376.8125,507.0,376.8125,293.0
-3.0,-1.0,0.0,323.5,505.5,323.5,294.5
-3.5,-1.0,0.0,269.9285583496094,504.1428527832031,269.9285583496094,295.8571472167969
-4.0,-1.0,0.0,216.5,503.0,216.5,297.0
-4.5,-1.0,0.0,163.0,501.5,163.0,298.5
4.5,-0.5,0.0,1120.0,473.5333251953125,1120.0,326.4666748046875
4.0,-0.5,0.0,1067.0,472.22222900390625,1067.0,327.77777099609375
3.5,-0.5,0.0,1014.0,471.0,1014.0,329.0
3.0,-0.5,0.0,961.5,469.5,961.5,330.5
2.5,-0.5,0.0,908.4166870117188,468.4166564941406,908.4166870117188,331.5833435058594
2.0,-0.5,0.0,855.5,466.625,855.5,333.375
1.5,-0.5,0.0,802.580810546875,465.4494934082031,802.580810546875,334.5505065917969
1.0,-0.5,0.0,750.0,464.0,750.0,336.0
0.5,-0.5,0.0,696.9901733398438,462.8039245605469,696.9901733398438,337.1960754394531
-0.5,-0.5,0.0,591.1363525390625,459.8636474609375,591.1363525390625,340.1363525390625
-1.0,-0.5,0.0,538.0999755859375,458.1000061035156,538.0999755859375,341.8999938964844
-1.5,-0.5,0.0,485.0,457.0,485.0,343.0
0.0,-0.5,0.0,644.0,461.0,644.0,339.0
-2.0,-0.5,0.0,431.5,455.5,431.5,344.5
-2.5,-0.5,0.0,378.5,454.0,378.5,346.0
-3.0,-0.5,0.0,325.0,452.6363525390625,325.0,347.3636474609375
-3.5,-0.5,0.0,271.6333312988281,451.3666687011719,271.6333312988281,348.6333312988281
-4.0,-0.5,0.0,218.0,450.0,218.0,350.0
-4.5,-0.5,0.0,164.86363220214844,448.8636474609375,164.86363220214844,351.1363525390625
4.5,0.0,0.0,1121.892822265625,421.0,1121.892822265625,379.0
4.0,0.0,0.0,1069.0714111328125,419.8333435058594,1069.0714111328125,380.1666564941406
3.5,0.0,0.0,1016.0,418.0,1016.0,382.0
3.0,0.0,0.0,963.272705078125,416.6363525390625,963.272705078125,383.3636474609375
2.5,0.0,0.0,910.5,415.5,910.5,384.5
2.0,0.0,0.0,857.5,414.0,857.5,386.0
1.5,0.0,0.0,804.5,412.5,804.5,387.5
1.0,0.0,0.0,751.80615234375,411.01019287109375,751.80615234375,388.98980712890625
-0.5,0.0,0.0,593.0,406.8125,593.0,393.1875
-1.0,0.0,0.0,539.8846435546875,405.1153869628906,539.8846435546875,394.8846130371094
0.5,0.0,0.0,698.6500244140625,409.6499938964844,698.6500244140625,390.3500061035156
-1.5,0.0,0.0,486.9157409667969,403.88201904296875,486.9157409667969,396.11798095703125
-2.0,0.0,0.0,433.5,402.5,433.5,397.5
-2.5,0.0,0.0,380.5,401.0,380.5,399.0
0.0,0.0,0.0,645.81396484375,408.2325439453125,645.81396484375,391.7674560546875
-3.0,0.0,0.0,326.6333312988281,399.6333312988281,326.6333312988281,400.3666687011719
-3.5,0.0,0.0,273.5,398.0,273.5,402.0
-4.0,0.0,0.0,219.6666717529297,396.6666564941406,219.6666717529297,403.3333435058594
-4.5,0.0,0.0,166.39999389648438,395.3999938964844,166.39999389648438,404.6000061035156
4.5,0.5,0.0,1123.9117431640625,368.0882263183594,1123.9117431640625,431.9117736816406
4.0,0.5,0.0,1071.0,367.0,1071.0,433.0
3.5,0.5,0.0,1018.2523193359375,365.3899230957031,1018.2523193359375,434.6100769042969
3.0,0.5,0.0,965.0384521484375,363.9615478515625,965.0384521484375,436.0384521484375
2.5,0.5,0.0,912.419189453125,362.4494934082031,912.419189453125,437.5505065917969
2.0,0.5,0.0,859.5,361.0,859.5,439.0
1.5,0.5,0.0,806.5,359.5,806.5,440.5
1.0,0.5,0.0,753.8571166992188,358.0714416503906,753.8571166992188,441.9285583496094
0.5,0.5,0.0,700.8636474609375,356.8636474609375,700.8636474609375,443.1363525390625
0.0,0.5,0.0,647.5,355.0833435058594,647.5,444.9166564941406
-0.5,0.5,0.0,594.5,353.9166564941406,594.5,446.0833435058594
-1.0,0.5,0.0,541.8846435546875,352.1153869628906,541.8846435546875,447.8846130371094
-1.5,0.5,0.0,488.5,350.9166564941406,488.5,449.0833435058594
-2.0,0.5,0.0,435.5,349.5,435.5,450.5
-2.5,0.5,0.0,382.0,348.0,382.0,452.0
-3.0,0.5,0.0,328.3666687011719,346.6333312988281,328.3666687011719,453.3666687011719
-3.5,0.5,0.0,275.0,345.0,275.0,455.0
-4.0,0.5,0.0,221.5,343.5,221.5,456.5
